subject,name,killed,live,total
addressbook,EventHandlerAdd,0,9,9
addressbook,TextInsert,0,2,2
addressbook,StyleSize,2,9,11
addressbook,StyleVisibility,3,8,11
addressbook,StyleColor,0,10,10
addressbook,SubtreeMove,3,1,4
addressbook,SubtreeInsert,0,8,8
addressbook,TextDelete,3,4,7
addressbook,StylePosition,1,5,6
addressbook,SubtreeDelete,4,2,6
addressbook,EventHandlerReplace,0,4,4
addressbook,AttributeAdd,0,4,4
addressbook,AttributeDelete,4,2,6
addressbook,TextReplace,3,2,5
addressbook,AttributeReplace,1,5,6
addressbook,EventHandlerDelete,0,1,1
mrbs,AttributeDelete,1,2,5
mrbs,TextInsert,0,1,2
mrbs,StyleSize,2,6,12
mrbs,StyleColor,0,7,10
mrbs,EventHandlerAdd,0,6,7
mrbs,StyleVisibility,1,3,10
mrbs,TextDelete,0,1,7
mrbs,StylePosition,1,10,13
mrbs,SubtreeDelete,3,2,11
mrbs,TextReplace,0,2,3
mrbs,AttributeReplace,2,0,4
mrbs,SubtreeMove,1,4,7
mrbs,SubtreeInsert,0,5,6
mrbs,AttributeAdd,0,2,2
mrbs,EventHandlerReplace,0,1,1
mantisbt,EventHandlerAdd,0,10,10
mantisbt,AttributeDelete,1,4,5
mantisbt,StyleVisibility,1,13,14
mantisbt,StyleColor,0,15,15
mantisbt,StylePosition,3,7,10
mantisbt,StyleSize,0,15,15
mantisbt,SubtreeDelete,2,2,4
mantisbt,SubtreeMove,2,7,9
mantisbt,SubtreeInsert,0,7,7
mantisbt,TextDelete,0,5,5
mantisbt,EventHandlerReplace,0,1,1
mantisbt,TextReplace,1,2,3
mantisbt,AttributeReplace,0,1,1
mantisbt,AttributeAdd,0,1,1
